run,N_eff,H0,100theta_s,z_reio,z_d
run_Neff3.20_h0.700,3.2,70.0,1.048183,7.651108,1059.904971
run_Neff3.20_h0.705,3.2,70.5,1.049653,7.653915,1059.904971
run_Neff3.20_h0.710,3.2,71.0,1.051119,7.656723,1059.904958
run_Neff3.20_h0.715,3.2,71.5,1.05258,7.660233,1059.904895
run_Neff3.20_h0.720,3.2,72.0,1.054038,7.66304,1059.904884
run_Neff3.20_h0.725,3.2,72.5,1.055491,7.665848,1059.904868
run_Neff3.20_h0.730,3.2,73.0,1.05694,7.668655,1059.904841
run_Neff3.25_h0.700,3.25,70.0,1.048183,7.651108,1059.904971
run_Neff3.25_h0.705,3.25,70.5,1.049653,7.653915,1059.904971
run_Neff3.25_h0.710,3.25,71.0,1.051119,7.656723,1059.904958
run_Neff3.25_h0.715,3.25,71.5,1.05258,7.660233,1059.904895
run_Neff3.25_h0.720,3.25,72.0,1.054038,7.66304,1059.904884
run_Neff3.25_h0.725,3.25,72.5,1.055491,7.665848,1059.904868
run_Neff3.25_h0.730,3.25,73.0,1.05694,7.668655,1059.904841
run_Neff3.30_h0.700,3.3,70.0,1.048183,7.651108,1059.904971
run_Neff3.30_h0.705,3.3,70.5,1.049653,7.653915,1059.904971
run_Neff3.30_h0.710,3.3,71.0,1.051119,7.656723,1059.904958
run_Neff3.30_h0.715,3.3,71.5,1.05258,7.660233,1059.904895
run_Neff3.30_h0.720,3.3,72.0,1.054038,7.66304,1059.904884
run_Neff3.30_h0.725,3.3,72.5,1.055491,7.665848,1059.904868
run_Neff3.30_h0.730,3.3,73.0,1.05694,7.668655,1059.904841
run_Neff3.35_h0.700,3.35,70.0,1.048183,7.651108,1059.904971
run_Neff3.35_h0.705,3.35,70.5,1.049653,7.653915,1059.904971
run_Neff3.35_h0.710,3.35,71.0,1.051119,7.656723,1059.904958
run_Neff3.35_h0.715,3.35,71.5,1.05258,7.660233,1059.904895
run_Neff3.35_h0.720,3.35,72.0,1.054038,7.66304,1059.904884
run_Neff3.35_h0.725,3.35,72.5,1.055491,7.665848,1059.904868
run_Neff3.35_h0.730,3.35,73.0,1.05694,7.668655,1059.904841
run_Neff3.40_h0.700,3.4,70.0,1.048183,7.651108,1059.904971
run_Neff3.40_h0.705,3.4,70.5,1.049653,7.653915,1059.904971
run_Neff3.40_h0.710,3.4,71.0,1.051119,7.656723,1059.904958
run_Neff3.40_h0.715,3.4,71.5,1.05258,7.660233,1059.904895
run_Neff3.40_h0.720,3.4,72.0,1.054038,7.66304,1059.904884
run_Neff3.40_h0.725,3.4,72.5,1.055491,7.665848,1059.904868
run_Neff3.40_h0.730,3.4,73.0,1.05694,7.668655,1059.904841
run_Neff3.45_h0.700,3.45,70.0,1.048183,7.651108,1059.904971
run_Neff3.45_h0.705,3.45,70.5,1.049653,7.653915,1059.904971
run_Neff3.45_h0.710,3.45,71.0,1.051119,7.656723,1059.904958
run_Neff3.45_h0.715,3.45,71.5,1.05258,7.660233,1059.904895
run_Neff3.45_h0.720,3.45,72.0,1.054038,7.66304,1059.904884
run_Neff3.45_h0.725,3.45,72.5,1.055491,7.665848,1059.904868
run_Neff3.45_h0.730,3.45,73.0,1.05694,7.668655,1059.904841
run_Neff3.50_h0.700,3.5,70.0,1.048183,7.651108,1059.904971
run_Neff3.50_h0.705,3.5,70.5,1.049653,7.653915,1059.904971
run_Neff3.50_h0.710,3.5,71.0,1.051119,7.656723,1059.904958
run_Neff3.50_h0.715,3.5,71.5,1.05258,7.660233,1059.904895
run_Neff3.50_h0.720,3.5,72.0,1.054038,7.66304,1059.904884
run_Neff3.50_h0.725,3.5,72.5,1.055491,7.665848,1059.904868
run_Neff3.50_h0.730,3.5,73.0,1.05694,7.668655,1059.904841
run_Neff3.55_h0.700,3.55,70.0,1.048183,7.651108,1059.904971
run_Neff3.55_h0.705,3.55,70.5,1.049653,7.653915,1059.904971
run_Neff3.55_h0.710,3.55,71.0,1.051119,7.656723,1059.904958
run_Neff3.55_h0.715,3.55,71.5,1.05258,7.660233,1059.904895
run_Neff3.55_h0.720,3.55,72.0,1.054038,7.66304,1059.904884
run_Neff3.55_h0.725,3.55,72.5,1.055491,7.665848,1059.904868
run_Neff3.55_h0.730,3.55,73.0,1.05694,7.668655,1059.904841
run_Neff3.60_h0.700,3.6,70.0,1.048183,7.651108,1059.904971
run_Neff3.60_h0.705,3.6,70.5,1.049653,7.653915,1059.904971
run_Neff3.60_h0.710,3.6,71.0,1.051119,7.656723,1059.904958
run_Neff3.60_h0.715,3.6,71.5,1.05258,7.660233,1059.904895
run_Neff3.60_h0.720,3.6,72.0,1.054038,7.66304,1059.904884
run_Neff3.60_h0.725,3.6,72.5,1.055491,7.665848,1059.904868
run_Neff3.60_h0.730,3.6,73.0,1.05694,7.668655,1059.904841
run_Neff3.65_h0.700,3.65,70.0,1.048183,7.651108,1059.904971
run_Neff3.65_h0.705,3.65,70.5,1.049653,7.653915,1059.904971
run_Neff3.65_h0.710,3.65,71.0,1.051119,7.656723,1059.904958
run_Neff3.65_h0.715,3.65,71.5,1.05258,7.660233,1059.904895
run_Neff3.65_h0.720,3.65,72.0,1.054038,7.66304,1059.904884
run_Neff3.65_h0.725,3.65,72.5,1.055491,7.665848,1059.904868
run_Neff3.65_h0.730,3.65,73.0,1.05694,7.668655,1059.904841
run_Neff3.70_h0.700,3.7,70.0,1.048183,7.651108,1059.904971
run_Neff3.70_h0.705,3.7,70.5,1.049653,7.653915,1059.904971
run_Neff3.70_h0.710,3.7,71.0,1.051119,7.656723,1059.904958
run_Neff3.70_h0.715,3.7,71.5,1.05258,7.660233,1059.904895
run_Neff3.70_h0.720,3.7,72.0,1.054038,7.66304,1059.904884
run_Neff3.70_h0.725,3.7,72.5,1.055491,7.665848,1059.904868
run_Neff3.70_h0.730,3.7,73.0,1.05694,7.668655,1059.904841
run_Neff3.75_h0.700,3.75,70.0,1.048183,7.651108,1059.904971
run_Neff3.75_h0.705,3.75,70.5,1.049653,7.653915,1059.904971
run_Neff3.75_h0.710,3.75,71.0,1.051119,7.656723,1059.904958
run_Neff3.75_h0.715,3.75,71.5,1.05258,7.660233,1059.904895
run_Neff3.75_h0.720,3.75,72.0,1.054038,7.66304,1059.904884
run_Neff3.75_h0.725,3.75,72.5,1.055491,7.665848,1059.904868
run_Neff3.75_h0.730,3.75,73.0,1.05694,7.668655,1059.904841
run_Neff3.80_h0.700,3.8,70.0,1.048183,7.651108,1059.904971
run_Neff3.80_h0.705,3.8,70.5,1.049653,7.653915,1059.904971
run_Neff3.80_h0.710,3.8,71.0,1.051119,7.656723,1059.904958
run_Neff3.80_h0.715,3.8,71.5,1.05258,7.660233,1059.904895
run_Neff3.80_h0.720,3.8,72.0,1.054038,7.66304,1059.904884
run_Neff3.80_h0.725,3.8,72.5,1.055491,7.665848,1059.904868
run_Neff3.80_h0.730,3.8,73.0,1.05694,7.668655,1059.904841
